Name,Data,News,Evaluation
CF Industries Holdings Inc,02/07/2023,"Cramer On This Stock Down 5% In Last Month: 'It's Very Plain Vanilla' - CF Industries Holdings (NYSE:CF),",still open
CF Industries Holdings Inc,02/07/2023,Analysts See 11% Upside For The Holdings of VOOG,still open
CF Industries Holdings Inc,02/07/2023,The Oregon Public Employees Retirement Fund has sold shares of ...,still open
CF Industries Holdings Inc,02/07/2023,"Top 5 4th Quarter Trades of RPG Investment Advisory, LLC",still open
CF Industries Holdings Inc,02/07/2023,20 Stocks That Are Aggressively Buying Back Shares According To Goldman Sachs,still open
CF Industries Holdings Inc,02/07/2023,Top 25 Lowest P/E Ratios of the S&P 500,still open
CF Industries Holdings Inc,02/07/2023,Solid Phosphate Fertilizers Market Size & Analysis By 2023 -2029 ...,still open
CF Industries Holdings Inc,02/07/2023,CF Industries and ExxonMobil announce landmark carbon-capture ...,still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. Reports First Nine Months 2022 Net ...",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. Announces Expanded Clean Energy ...",still open
CF Industries Holdings Inc,02/07/2023,CF Industries Announces Planned $2 Billion Carbon-Capture ...,still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. Reports First Half 2022 Net Earnings of ...",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. (NYSE:CF) insiders sold US$46m worth of stock, possibly signalling a downtrend",still open
CF Industries Holdings Inc,02/07/2023,Does CF Industries Holdings (NYSE:CF) Have A Healthy Balance Sheet?,still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings Inc. stock falls Thursday, underperforms market",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings Inc. stock falls Tuesday, underperforms market",still open
CF Industries Holdings Inc,02/07/2023,CF Industries Holdings Inc. (CF) Q3 2022 Earnings Call Transcript,still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings' Market Cap Drops US$714m In 7 Days, But Shareholder Returns Up 160% Over Five Years",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings Inc. stock rises Friday, outperforms market",still open
CF Industries Holdings Inc,02/07/2023,CF Industries: Magic Formula Fertilizer (NYSE:CF),still open
CF Industries Holdings Inc,02/07/2023,There's A Lot To Like About CF Industries Holdings' (NYSE:CF) Upcoming US$0.40 Dividend,still open
CF Industries Holdings Inc,02/07/2023,Here's Why You Should Invest in CF Industries (CF) Stock Now,still open
CF Industries Holdings Inc,02/07/2023,CF Industries Holdings Inc. stock outperforms market despite losses on the day,still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings Inc. stock rises Monday, still underperforms market",still open
CF Industries Holdings Inc,02/07/2023,Cramer's lightning round: Stay long on CF Industries,still open
CF Industries Holdings Inc,02/07/2023,"Is CF Industries Holdings, Inc.'s (NYSE:CF) Stock's Recent Performance Being Led By Its Attractive Financial Prospects?",still open
CF Industries Holdings Inc,02/07/2023,"Is Most-Watched Stock CF Industries Holdings, Inc. (CF) Worth ...",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. Statement Regarding ITC Injury ...",still open
CF Industries Holdings Inc,02/07/2023,"Global Biofuels Markets Report 2023: Costs, Consumption, Industry ...",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries, Mitsui select Thyssenkrupp Uhde for blue ammonia ...",still open
CF Industries Holdings Inc,02/07/2023,"ExxonMobil, CF Industries and EnLink Partner in ‘Unprecedented ...",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. Reports First Quarter 2022 Net Earnings ...",still open
CF Industries Holdings Inc,02/07/2023,CF Fertilisers UK Announces Intention to Temporarily Halt Ammonia ...,still open
CF Industries Holdings Inc,02/07/2023,High Gas Prices Force UK Fertilizer Plant to Shut for Good,still open
CF Industries Holdings Inc,02/07/2023,CF Industries: What Falling Gas Prices Mean For Your Investment ...,still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Stock: The Harvest Is Plentiful, Keep Buying (NYSE:CF)",still open
CF Industries Holdings Inc,02/07/2023,Why I Believe That CF Industries Stock Will Double (NYSE:CF),still open
CF Industries Holdings Inc,02/07/2023,CF Industries Stock: Factors That Make It Way Too Cheap,still open
CF Industries Holdings Inc,02/07/2023,"Life Time Group Holdings, Inc. (LTH) Hits Fresh High: Is There Still ...",still open
CF Industries Holdings Inc,02/07/2023,CF Industries announces $198.5MM plan to produce blue ammonia ...,still open
CF Industries Holdings Inc,02/07/2023,UK Food Producers Face C02 Crunch After Plant Closure,still open
CF Industries Holdings Inc,02/07/2023,"Why Shares in Mosaic, CF Industries and Intrepid Potash Soared ...",still open
CF Industries Holdings Inc,02/07/2023,"Mitsui & Co., Ltd. and CF Industries Announce Plans for New Blue ...",still open
CF Industries Holdings Inc,02/07/2023,Top Fertilizer Maker CF Industries Sees Two Years of High Prices,still open
CF Industries Holdings Inc,02/07/2023,The Worldwide Deep Learning Industry is Projected to Reach $320.6 Billion by 2030 - Security Industry to Find Increasing Use of Deep Learning in Video Surveillance,still open
CF Industries Holdings Inc,02/07/2023,"Is There Now An Opportunity In CF Industries Holdings, Inc. (NYSE:CF)?",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. Reports Full Year 2021 Net Earnings of ...",still open
CF Industries Holdings Inc,02/07/2023,Rail News - CF Industries: UP delaying fertilizer shipments. For ...,still open
CF Industries Holdings Inc,02/07/2023,CF Industries Clears Path for Restructuring at U.K. Units,still open
CF Industries Holdings Inc,02/07/2023,"RBC Cuts Price Target on CF Industries Holdings to $130 From $135, Maintains Outperform Rating",still open
CF Industries Holdings Inc,02/07/2023,"Moody's upgrades CF Industries, Inc. to Baa3, outlook changed to ...",still open
CF Industries Holdings Inc,02/07/2023,CF Industries Vs. ICL Group: Who's King During A Boom In EV ...,still open
CF Industries Holdings Inc,02/07/2023,CF Industries: Strong Fundamentals & External Factors (NYSE:CF),still open
CF Industries Holdings Inc,02/07/2023,Fertilizer Maker CF Still Bullish as Price Rally Takes a Breather,still open
CF Industries Holdings Inc,02/07/2023,Enzyme-linked immunosorbent assay (Elisa) testing market size to Increase by USD 564.97 million: Evolving Opportunities with Abcam plc and Agilent Technologies Inc among others - Technavio,still open
CF Industries Holdings Inc,02/07/2023,CF Industries: The U.S. Fertilizer Boom May Soon Become A Bust,still open
CF Industries Holdings Inc,02/07/2023,Fertilizer Stock Surge: 2 U.S. Stocks to Capitalize,still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. Announces Halt of Operations at UK ...",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. Announces Planned Board of Directors ...",still open
CF Industries Holdings Inc,02/07/2023,U.S. Fertilizer Producer CF to Boost Exports Amid Shortfalls,still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. Commences Restart of Production at ...",still open
CF Industries Holdings Inc,02/07/2023,15 Largest Fertilizer Companies in the World,still open
CF Industries Holdings Inc,02/07/2023,"Mitsui & Co., Inc. and CF Industries to Jointly Explore Development ...",still open
CF Industries Holdings Inc,02/07/2023,CF Industries Signs Engineering and Procurement Contract with ...,still open
CF Industries Holdings Inc,02/07/2023,CF Fertilisers UK Temporarily Halts Ammonia Production At Billingham On Soaring Natural Gas Prices,still open
CF Industries Holdings Inc,02/07/2023,CF Industries (CF) Stock Moves -0.88%: What You Should Know,still open
CF Industries Holdings Inc,02/07/2023,CF Industries hits record as Ukraine crisis threatens fertilizer supply,still open
CF Industries Holdings Inc,02/07/2023,Jesus Madrazo Elected to Board of Directors of CF Industries ...,still open
CF Industries Holdings Inc,02/07/2023,"Should You Hold CF Industries Holdings, Inc. (CF) in Agricultural Inputs Industry?",still open
CF Industries Holdings Inc,02/07/2023,Global Potassium Fertilizer Market Outlook to 2027 - Featuring CF ...,still open
CF Industries Holdings Inc,02/07/2023,10 Best Fast Growth Stocks to Buy Now,still open
CF Industries Holdings Inc,02/07/2023,CF: 3 Fertilizer Stocks to Buy Before They Surge Higher,still open
CF Industries Holdings Inc,02/07/2023,CF Industries: No Phosphates And No Potash Is Actually A Good ...,still open
CF Industries Holdings Inc,02/07/2023,CF Industries signs with thyssenkrupp for green ammonia project,still open
CF Industries Holdings Inc,02/07/2023,CF Industries: Expansion Plan And Favorable Agricultural Prospects ...,still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. Announces Time Change for Nine Months and Third Quarter 2022 Earnings Conference Call",still open
CF Industries Holdings Inc,02/07/2023,Nutrien eyes U.S. ammonia plant with low carbon emissions,still open
CF Industries Holdings Inc,02/07/2023,5 Top Fertilizer Stocks to Buy on Robust Industry Fundamentals,still open
CF Industries Holdings Inc,02/07/2023,"Should CF Industries Holdings, Inc. (CF) Stock Be in Your Portfolio?",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings Inc. stock rises Monday, outperforms market",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. - Consensus Indicates Potential 28.7 ...",still open
CF Industries Holdings Inc,02/07/2023,CF Industries Holdings (CF) Declares $0.40 Dividend,still open
CF Industries Holdings Inc,02/07/2023,Affinity Investment Advisors LLC Has $1.18 Million Stake in CF ...,still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings Inc. stock falls Monday, underperforms market",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings Inc. stock rises Thursday, outperforms market",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings Inc. stock falls Wednesday, underperforms market",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. (CF) Is a Trending Stock: Facts to Know ...",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. (NYSE:CF) Shares Sold by Oregon ...",still open
CF Industries Holdings Inc,02/07/2023,Zacks Industry Outlook Highlights Sociedad Quimica y Minera de ...,still open
CF Industries Holdings Inc,02/07/2023,Ameliora Wealth Management Ltd. Makes New Investment in CF ...,still open
CF Industries Holdings Inc,02/07/2023,ADM: 4 Agriculture Stocks With Room to Grow in 2023 and 1 to Sell,still open
CF Industries Holdings Inc,02/07/2023,Angeles Investment Advisors LLC Decreases Stock Holdings in CF ...,still open
CF Industries Holdings Inc,02/07/2023,Concentrated Nitric Acid Market Report 2022: In-Depth Analysis of ...,still open
CF Industries Holdings Inc,02/07/2023,CF Industries (CF) Signs MOU to Supply Clean Ammonia to JERA,still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. Declares Quarterly Dividend and ...",still open
CF Industries Holdings Inc,02/07/2023,"Cramer On This Stock Down 5% In Last Month: 'It's Very Plain Vanilla' - CF Industries Holdings (NYSE:CF),",still open
CF Industries Holdings Inc,02/07/2023,3 Fertilizer Stocks to Watch Amid Industry Challenges,still open
CF Industries Holdings Inc,02/07/2023,"Czech National Bank acquires 23,157 shares of CF Industries ...",still open
CF Industries Holdings Inc,02/07/2023,20 Stocks That Are Aggressively Buying Back Shares According To Goldman Sachs,still open
CF Industries Holdings Inc,02/07/2023,Analysts See 11% Upside For The Holdings of VOOG,still open
CF Industries Holdings Inc,02/07/2023,"Top 5 4th Quarter Trades of RPG Investment Advisory, LLC",still open
CF Industries Holdings Inc,02/07/2023,The Oregon Public Employees Retirement Fund has sold shares of ...,still open
CF Industries Holdings Inc,02/07/2023,Top 25 Lowest P/E Ratios of the S&P 500,still open
CF Industries Holdings Inc,02/07/2023,"Water soluble fertilizers market: Driving factors, Industry challenges, segmentation, Key vendor analysis, Leading countries, and Market size and forecast 2023-2027 - Technavio",still open
CF Industries Holdings Inc,02/07/2023,ADM: 3 Agriculture Stocks to Help Feed Your Portfolio,still open
CF Industries Holdings Inc,02/07/2023,Top 25 Agrochemical Companies in the World,still open
CF Industries Holdings Inc,02/07/2023,Here's Why You Should Invest in CF Industries (CF) Stock Now,still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. (NYSE:CF) insiders sold US$46m worth of stock, possibly signalling a downtrend",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings Inc. stock rises Friday, outperforms market",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings' Market Cap Drops US$714m In 7 Days, But Shareholder Returns Up 160% Over Five Years",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings Inc. stock falls Thursday, underperforms market",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings Inc. stock falls Tuesday, underperforms market",still open
CF Industries Holdings Inc,02/07/2023,Phosphates Global Market Report 2023: Numerous Benefits of Phosphates in Various Applications Drive Demand,still open
CF Industries Holdings Inc,02/07/2023,CF Industries: Magic Formula Fertilizer (NYSE:CF),still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings Inc. stock rises Monday, still underperforms market",still open
CF Industries Holdings Inc,02/07/2023,CF Industries Holdings Inc. stock outperforms market despite losses on the day,still open
CF Industries Holdings Inc,02/07/2023,"Is Most-Watched Stock CF Industries Holdings, Inc. (CF) Worth ...",still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. Reports First Nine Months 2022 Net Earnings of $2.49 Billion, Adjusted EBITDA of $4.58 Billion",still open
CF Industries Holdings Inc,02/07/2023,Does CF Industries Holdings (NYSE:CF) Have A Healthy Balance Sheet?,still open
CF Industries Holdings Inc,02/07/2023,There's A Lot To Like About CF Industries Holdings' (NYSE:CF) Upcoming US$0.40 Dividend,still open
CF Industries Holdings Inc,02/07/2023,"CF Industries Holdings, Inc. Reports First Half 2022 Net Earnings of ...",still open
